PMY,BMY
21067.9422,5481.672154
19816.86288,5156.153573
21980.47128,5719.103281
23632.36294,6148.909308
25060.50014,6520.496615
25157.78469,6545.809102
24548.7834,6387.352934
25060.50014,6520.496615
25334.84257,6591.877828
25290.09167,6580.234084
24433.98763,6357.484199
23653.76554,6154.478055
23319.10669,6067.4031
25511.90045,6637.946554
25469.09525,6626.80906
24673.30763,6419.752917
24377.56259,6342.802957
23682.9509,6162.071801
22431.87159,5836.55322
21789.79356,5669.490807
21075.72496,5483.697153
20696.31521,5384.978454
19990.02938,5201.2098
19900.52759,5177.922312
19902.47328,5178.428562
18614.42584,4843.291236
19663.15329,5116.159844
20332.471,5290.309753
21768.39096,5663.92206
21925.99193,5704.928288
21708.07454,5648.228318
22250.92233,5789.471994
22124.45241,5756.565761
22342.3698,5813.265732
21982.41697,5719.609531
21414.27519,5571.784607
21698.34608,5645.697069
24346.43154,6334.702961
24381.45398,6343.815457
24223.853,6302.809228
23293.8127,6060.821853
22260.65078,5792.003243
21855.94705,5686.703298
20776.08854,5405.734694
20307.17701,5283.728507
19863.55946,5168.303567
19750.70939,5138.941082
20067.85702,5221.459789
20507.58319,5335.87223
21077.67065,5484.203403
24881.49656,6473.921639
26675.42367,6940.683897
28010.1677,7287.971216
27838.94689,7243.421239
27181.30333,7072.308828
28187.22558,7334.039942
28751.47597,7480.852366
28720.34492,7472.75237
27901.209,7259.621231
25912.7128,6742.234
25208.37265,6558.971595
27097.63862,7050.54009
26868.04708,6990.802621
26107.2819,6792.858973
25070.22859,6523.027863
23727.7018,6173.715545
22659.51744,5895.784439
21836.49014,5681.6408
21381.19845,5563.178362
20986.22317,5460.409665
20920.06968,5443.197174
21278.07682,5536.347126
21093.23618,5488.253401
21951.28591,5711.509535
25212.26403,6559.984094
26685.15212,6943.215145
28109.39794,7313.789953
27977.09095,7279.364971
27514.01649,7158.877533
28591.92931,7439.339888
28955.77353,7534.008589
29053.05808,7559.321075
28173.60574,7330.496194
26189.00092,6814.121462
25091.63119,6528.596611
27066.50756,7042.440094
26788.27375,6970.046381
25930.22401,6746.790247
25220.0468,6562.009093
23826.93204,6199.534281
22743.18215,5917.553178
